UNICA ATACADISTA DE TINTAS

FORNECEDORES - COMPLETO 31/08/2026 19:55

Cadastro Inicial : TODOS
Cadastro Final : TODOS
Atividade : TODOS
Material para Revenda : TODOS
Situação : ATIVOS
Ordenar por : CÓDIGO
Destino : CSV

CÓDIGO;NOME DO FORNECEDOR;ENDEREÇO;BAIRRO;CIDADE;UF;;C.E.P.;CAIXA POSTAL;C.P.F./C.N.P.J.;INSC. ESTADUAL;;CONTATO;DATA DE CADASTRO;TELEFONE;FAX
"00000106";"GRAFICA S&S VAZ LTDA";"QNP 28 CONJUNTO N LOTE";"P SUL";"CEILANDIA";"DF";" ";"70000000";"";"05811940000184";"000000000";" ";"";21/01/2010;"61 33766689";"61 33783175"
"00000107";"CELG DISTRIBUICAO";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";14/06/2012;"";""
"00000108";"A ALTA PRESSAO LTDA";"SIA TRECHO 03 LOTE 570/580";"SIA SUL";"BRASILIA";"DF";" ";"71200030";"";"00674932000110";"0739029300150";" ";"";27/01/2010;"61 32345666";""
"00000109";"ALIANCA CONTABIL LTDA ME";"SCS QD 06 BLOCO A NR 141 ED PRESIDENTE SALA";"ASA SUL";"BRASILIA";"DF";" ";"70327900";"";"09418810000137";"0750026100100";" ";"";04/02/2010;"61 30322221";""
"00000110";"IRMAOS PEPE LTDA";"SIA SUL TRECHO 2 LOTE 445 A 475 GALPAO A&B";"SIA SUL";"BRASILIA";"DF";" ";"71200020";"";"37061769000634";"0731799500679";" ";"RONAN";10/02/2010;"61 33635005";""
"00000111";"G.R.AMORIM INFORMATICA ME";"QSA QSA 04 LT 20 E 22 LOJA";"TAGUATINGA";"TAGUATINGA";"DF";" ";"72015020";"";"11238956000142";"0752915400178";" ";"";17/02/2010;"61 30211151";""
"00000112";"COM.ALVORADA LIMPEZA E DESCARTAVEIS";"3 AV COM LJ 1 T SUB E LJ 2 LT 1090/LJ1";"NUCLEO BANDEIRANTES";"BRASILIA";"DF";" ";"71720006";"";"07888247000135";"0747593900147";" ";"JUNIOR";10/02/2010;"61 33860089";""
"00000113";"KRISTA TECNOLOGIA LTDA";"SHC/SCR QUADRA 511 BLOCO A LOJA";"ASA SUL";"BRASILIA";"DF";" ";"70361510";"";"38058475000101";"0733723600121";" ";"";19/02/2010;"61 32149000";""
"00000114";"EBF IND.COM.E SERVICOS LTDA";"CHÁCARA 2";"CONDOMINIOS";"SH VICENTE PIRES";"DF";" ";"72110800";"";"38013199000165";"0731224200180";" ";"";19/03/2010;"61 33971321";"61 33971409"
"00000115";"VIVO S.A.";"SCS QD 02 BL C Nº206 E";"ASA SUL";"BRASILIA";"DF";" ";"70319901";"";"02449992015510";"0748035600216";" ";"";12/04/2010;"8486";""
"00000116";"EASY TECH INFORMATICA";"3ºAV.LOTE 1178-A LOJA";"NUCLEO BANDEIRANTE";"NUCLEO BANDEIRANTE";"DF";" ";"71720010";"";"05462543000144";"0744129300175";" ";"";12/04/2010;"61 33867973";"61 30325294"
"00000117";"STILUS COMERCIO DE UNIFORMES LTDA";"QNG 31 LOTE 02 (L1) LOJA";"TAGUATINGA NORTE";"TAGUATINGA";"DF";" ";"72130310";"";"05985065000157";"0745026900151";" ";"";15/04/2010;"61 33542023";""
"00000118";"MARCOS ROGERIO GIMENES - ME";"RUA MANOEL DE MACEDO,";"RIBEIRAO PRETO";"RIBERAO PRETO";"SP";" ";"14030560";"";"03825116000158";"582586978119";" ";"";23/04/2010;"16 36375208";"16 30233214"
"00000119";"SOLIDA TRANSPORTE LTDA";"AV DESVIO BUCAREST,550 JD.N.MUNDO";"GOIANIA";"GOIÂNIA";"GO";" ";"74703100";"";"74167222000130";"102645167";" ";"";17/04/2010;"62 32068100";"62 32068100"
"00000120";"SUL AMERICA SEGURO SAUDE S.A";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";22/02/2012;"";""
"00000121";"MAQUINAS JUNQUEIRA LTDA";"RUA TENENTE GUIMARÃES,";"NOVA ERA";"JUIZ DE FORA";"MG";" ";"36087070";"";"21564745000153";"3670168540097";" ";"";27/04/2010;"32 32225222";""
"00000122";"EMBRATEL EMPRESA DE TELECOMUNICACOES S/A";"ST COMERCIAL SUL QD 5 BL E S/N";"ASA SUL";"BRASILIA";"DF";" ";"70310500";"";"33530486011678";"000000000000";" ";"";17/04/2010;"80 07215421";""
"00000123";"INFORTONNER INFOMATICA LTDA ME";"SC/S QD 06 BLOCO A 81 SALA";"ASA SUL";"BRASILIA";"DF";" ";"70326900";"";"10915772000107";"0752278800154";" ";"";07/05/2010;"61 30371901";""
"00000124";"CENTERDATA ANALISES DE SISTEMAS E SERVICOS LTDA ME";"AV AGUAS CLARAS QS 06 LOTE C27 TERREO E 1ANDAR";"AGUAS CLARAS";"AGUAS CLARAS";"DF";" ";"72030979";"";"02596872000190";"0733214000177";" ";"";14/06/2010;"61 30396343";"61 33564075"
"00000125";"INSAN DO BRASIL LTDA";"RUA MARIALVA,";"JARDIM PEDRO DEMETERCO";"PINHAIS";"PR";" ";"83324180";"";"07155533000191";"9032822409";" ";"MARCIA";02/07/2010;"41 21173232";"41 21173230"
"00000126";"ALLCHEM QUIMICA IND. E COM. LTDA";"RUA A,";"DISTRITO INDUSTRIAL";"RIO GRANDE";"RS";" ";"98200970";"";"93153179000106";"1000134188";" ";"";22/02/2011;"53 21263000";"53 21263001"
"00000127";"GMI DISTRIBUIDORA LTDA";"AV DOM PEDRO I 12";"STA BRANCA";"BELO HORIZONTE";"MG";" ";"70000000";"";"04098359000102";"0621132960036";" ";"VINICIUS";14/06/2010;"31 34900777";"31 34393614"
"00000128";"BANACH FERRAMENTAS LTDA";"RUA RIBEIRO DO VALE,";"BROOKLIN PAULISTA";"SÃO PAULO";"SP";" ";"04568001";"";"61920518000138";"105496910113";" ";"ALFREDO";15/07/2010;"11 55335435";"11 55352194"
"00000129";"TG TRANSP.GERAIS E DIST LTDA";"RUA VIANA DO CASTELO 1007-31255-160";"SAO FRANCISCO";"BELO HORIZONTE";"MG";" ";"31255160";"";"03562929000100";"0621005220076";" ";"";05/07/2010;"31 31152700";"31 30691732"
"00000130";"R&F TINTAS LTDA";"QUADRA 43-LOTE";"MORADA NOBRE";"VALPARAIZO DE GOIAS";"GO";" ";"72870303";"";"02633959000190";"103053778";" ";"";03/08/2010;"61 36275099";""
"00000131";"COMERCIAL OLIVEIRA E SANTOS LTDA EPP";"RUA SAO JORGE C/RUA UBERABA";"JARDIM NOVA ERA ACRESCIMO";"APARECIDA DE GIOANIA";"GO";" ";"74916310";"";"11651202000110";"104645547";" ";"";13/08/2010;"62 30976404";""
"00000132";"FUNDAMENTAL COM E SERV LTDA";"QUADRA 10 CONJ A";"SOF SUL";"BRASILIA";"DF";" ";"71215251";"";"33436270000360";"0741351100379";" ";"";09/08/2010;"61 33628880";""
"00000133";"FILTRAGUA COMERCIO ARTIGOS DO LAR LTDA";"SD NORTE CONJ A LOJA S 25 1 SUBSOLO";"CNB";"ASA NORTE";"DF";" ";"70000000";"";"02596702000105";"0738656800145";" ";"";28/08/2010;"61 33264790";""
"00000134";"REGIANE VIEIRA DOS SANTOS ME";"QNO 13 CONJ A LOTE 11 LOJA";"CEILANDIA";"CEILANDIA";"DF";" ";"72255301";"";"14601619000166";"0759158100101";" ";"POTENCIALVENDAS3GMAIL.COM";31/08/2010;"61 30818283";"61 85170480"
"00000135";"HC PNEUS S.A";"TRECHO 01 LOTE";"SIA SUL";"BRASILIA";"DF";" ";"71200010";"";"00000802000282";"0731791900201";" ";"";30/09/2010;"61 21061818";"61 21061898"
"00000136";"BEIJA FLOR COMERCIO DE TINTAS LTDA";"RUA DR. MARCOLINO Nº";"CENTRO";"PATOS DE MINAS";"MG";" ";"38700160";"";"66209362000871";"4807605530565";" ";"CELIO";24/09/2010;"34 21068001";""
"00000137";"DAUTO TINTAS LTDA ME";"QE 40 RUA11 LOTE 8 POLO DE MODAS";"GUARA II";"BRASILIA";"DF";" ";"71070511";"";"01969415000483";"0737590800411";" ";"";15/10/2010;"61 33011055";"61 33011224"
"00000138";"NOVA CASA DIST.MAT P/ CONST-LTDA";"QI 06 LOTE 10/12 GALPAO A-S/N";"TAG.NORTE";"TAGUATINGA";"DF";" ";"72153060";"";"74200403000200";"0743134400206";" ";"";15/10/2010;"61 33555100";""
"00000139";"BRASAL BRASILIA SERVICOS AUTOMOTORES S/A";"SIA TRECHO 01 Nº";"SIA SUL";"BRASILIA";"DF";" ";"71200010";"";"00000885000129";"0733093700149";" ";"";18/10/2010;"61 39626655";"61 39626813"
"00000140";"ARCO IRIS MOVEIS PARA ESCRITORIO LTDA EPP";"CND 02 LT 09 LJ";"TAGUATINGA";"TAGUATINGA";"DF";" ";"70000000";"";"02724860000101";"0738884600108";" ";"";12/11/2010;"61 33540564";""
"00000141";"RITA HOLANDA DO NASCIMENTO ME";"QD 04 CONJ I LOTE";"AREA DE DESENVOLVIMENTO ECONOM";"BRASILIA";"DF";" ";"72237490";"";"08659316000100";"0748460300163";" ";"";17/11/2010;"   33763316";""
"00000142";"COMANDO EXTINTOR LTDA";"COLÔNIA AGRICOLA BERNARDO SAIÃO CHACARA";"BERNARDO SAIAO";"GUARA";"DF";" ";"71080000";"";"04985849000112";"0743255600176";" ";"";23/11/2010;"61 33813373";"61 35673679"
"00000143";"TERRA UTIL. DE MAQUINAS, FERRAMENTAS E UTILID.";"SIA/SUL TRECHO 02 LOTES 525/545";"SIA SUL";"BRASILIA";"DF";" ";"71200020";"";"07144507000168";"0746252600196";" ";"GUSTAVO";26/11/2010;"61 37017000";""
"00000144";"CKX  COMERCIO DE TINTAS LTDA EPP";"Q 5C LOTE 07 0";"SIA SUL";"BRASILIA";"DF";" ";"71220055";"";"12763883000170";"0755394500166";" ";"";21/12/2010;"61 33610722";""
"00000145";"Q1 COMERCIAL DE ROUPAS LTDA";"SD/NORTE CONJUNTO A";"CENTRO";"BRASILIA";"DF";" ";"70077900";"";"09044235001636";"0749457600478";" ";"";28/12/2010;"";""
"00000146";"SARKIS & SARKIS LTDA";"SIA QUADRA 05C LOJA";"SIA SUL";"BRASILIA";"DF";" ";"71200055";"";"00533018000159";"0732398300111";" ";"";05/01/2011;"61 33618900";""
"00000147";"SOFTSYSTEM ENGENHARIA EM SOFTWARE LTDA";"COND.SAN DIEGO LOTE 01 LJ 08 SL3";"CENTRO EMPRESARIAL";"JARDIM BOTANICO";"DF";" ";"71680362";"";"02807150000137";"0739032800142";" ";"";14/01/2011;"61 34274949";""
"00000148";"LONG SERVICOS DE DEDETIZACAO LTDA";"SCLN QD 114 BLOCO C LOJAS 19/21";"ASA NORTE";"BRASILIA";"DF";" ";"70764530";"";"33462441000164";"0734058700144";" ";"";18/01/2011;"61 32742000";""
"00000149";"ALAN DA SILVA ME";"COL AGRICOLA AGUAS CLARAS CH-08 LT-01  20";"GUARA";"BRASILIA";"DF";" ";"71090045";"";"12741707000138";"0754965000170";" ";"";24/01/2011;"61 35687206";""
"00000150";"SOL COMERCIO E SERV DE INFORMATICA LTDA";"SCLRN QD 703, BLOCO D, LOJA";"ASA NORTE";"BRASILIA";"DF";" ";"73730514";"";"07607904000129";"0747053300131";" ";"";28/01/2011;"61 33289090";""
"00000151";"TC TRANSCARPAL TRANSPORTE DE CARGAS";"RUA 7. N 130, QD 56 LT10";"ST SANTOS DUMONT";"GOIÂNIA";"GO";" ";"74463490";"";"09194437000188";"103817980";" ";"";22/02/2011;"62 35972284";""
"00000152";"ENEIAS COMERCIO DE MOTOPECAS LTDA EPP";"C02, LT 05, LJ 01 E 02";"TAGUATINGA";"TAGUATINGA";"DF";" ";"72010020";"";"37098001000120";"0730160700171";" ";"";23/02/2011;"61 35626576";""
"00000153";"REAL AUTO ELETRICA LTDA";"QD 07 CONJ B LOTE";"SOF SUL";"BRASILIA";"DF";" ";"71215222";"";"36770816000141";"0752278800154";" ";"";25/03/2011;"61 39644497";""
"00000154";"BRASPRESS TRANSPORTES URGENTES LTDA";"RUA PADRE AMERICO CEPPI";"MARTA HELENA";"UBERLÂNDIA";"MG";" ";"38400672";"";"48740351004900";"1863627670518";" ";"";24/02/2011;"34 21017100";"34 21017101"
"00000155";"ARCOM S.A.";"ROD ANEL VIARIO SENNA";"DIST INDUSTRIAL";"UBERLÂNDIA";"MG";" ";"38414512";"";"25769266002410";"7020270720090";" ";"JOSE CARLOS";02/04/2011;"34 32184200";"34 32184100"
"00000156";"PRODESIVO INDUSTRIA E COMERCIO LTDA";"CSG 08 LOTE, Nr";"TAGUATINGA SUL";"TAGUATINGA";"DF";" ";"72035508";"";"26500579000145";"0731532400113";" ";"PAULO";05/04/2011;"61 33560060";""
"00000157";"STILO SIGN SERVICOS DE CONFECCOES DE PLACAS";"QE 40 RUA 20 LOTE 13 LOJA B";"POLO DE MODAS";"GUARA";"DF";" ";"70000000";"";"10344524000153";"0751001400192";" ";"";19/04/2011;"61 30214774";""
"00000158";"MERCOBRAS MATERIAIS E EQUIPAMENTOS LTDA ME";"SIA TRECHO 02 LOTE 1675 TERREO";"SIA SUL";"BRASILIA";"DF";" ";"71200020";"";"07883735000150";"0747757700129";" ";"";28/04/2011;"61 30378833";""
"00000159";"PAPEIS VITORIA 5 ESTRELAS LTDA ME";"RUA MANUEL DE MACEDO,";"JARDIM PIRATININGA";"RIBEIRAO";"SP";" ";"14030560";"";"05912848000100";"582652145111";" ";"";24/06/2011;"16 36375208";""
"00000160";"BRASILIA TELEFONIA E INFORMATICA LTDA ME";"SIBS QD 03 CONJ A LT 55 NUCLEO BANDEIRANTE";"NUCLEO BANDEIRANTE";"BRASILIA";"DF";" ";"71736301";"";"08992066000117";"0749128600184";" ";"";16/07/2011;"61 33868301";"61 33868301"
"00000161";"COMPANHIA DE SANEAMENTO AMBIENTAL DO DF";"AV. SIBIPIRUNA LTS 13/21 AGUAS CLARAS";"AGUAS CLARAS";"BRASILIA";"DF";" ";"71928720";"";"00082024000137";"0732466700167";" ";"";20/07/2011;"";""
"00000162";"OI S.A";"SCS QD 02 BLOCO E PROJEÇÃO";"ASA SUL";"BRASILIA";"DF";" ";"70302903";"";"76535764000143";"0740892700142";" ";"";20/07/2011;"";""
"00000163";"EMF INDUSTRIA METALURGICA";"RUA MARCOS BORTINI";"DISTRITO INDUSTRIAL";"MARÍLIA";"SP";" ";"17512330";"";"11286964000164";"438278366118";" ";"";22/07/2011;"14 34253582";""
"00000164";"CEB DISTRIBUICAO";"SIA AREA DE SERVICOS PUBLICOS LOTE C";"SIA";"BRASILIA";"DF";" ";"71215902";"";"07522669000192";"0746893500197";" ";"";28/07/2011;"";""
"00000165";"AMIL ASSISTENCIA MEDICA INTERNACIONAL LTDA";"SCS QD 06 BL A N 157 5 ANDAR SALAS 501 A";"SETOR COMERCIAL";"BRASILIA";"DF";" ";"70300910";"";"29309127009478";"0732413900404";" ";"";28/07/2011;"61 32131000";""
"00000166";"GLOBAL VILLAGE TELECOM LTDA";"Q SIA SUL TRECHO 03 LT 0565/1575/1585";"SIA";"BRASILIA";"DF";" ";"71200030";"";"03420926001104";"0741325700291";" ";"";02/08/2011;"";""
"00000167";"PLASPEL EMBALAGENS LTDA";"CSG 05 LOTE 03 TAG. SUL";"TAGUATINGA";"BRASILIA";"DF";" ";"72035505";"";"00463802000138";"0733435000145";" ";"";24/08/2011;"";""
"00000168";"PATRIMOB ADM IMOBILIARIO LTDA";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";15/08/2011;"";""
"00000169";"ROSANA SILVA LEITE-ME";"ADE QD. 04 CJ. B LT";"P. SUL";"BRASILIA";"DF";" ";"72000000";"";"16793003000160";"0762099800106";" ";"";24/08/2011;"61 33766689";""
"00000170";"CPL DIST. DE MAT. DE CONSTRUCAO LTDA";"QD TRECHO 03 N S/N LT";"GUARA";"BRASILIA";"DF";" ";"71200030";"";"11009307000170";"0752462900158";" ";"";30/08/2011;"   34336800";""
"00000171";"INMETRO  SERVICOS PUBLICOS FEDERAL";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";08/09/2011;"";""
"00000172";"KERS IMPORTADORA AUTOMOTIVA KERS IMPORTADORA LTDA";"RUA MARIA DA GLÓRIA";"SÃO JOÃO";"ITAJAÍ";"SC";" ";"88304330";"";"03123344000186";"258832886";" ";"ANTONIO";04/11/2011;"62 99300151";"62999300151"
"00000173";"DEPARTAMENTO DE TRANSITO DO DISTRITO FEDERAL";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";12/12/2011;"";""
"00000174";"CENTRO DE INT EMPRESA ESCOLA CIEE";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";19/09/2011;"";""
"00000175";"MERCADO NA REDE LTDA-ME";"SHCSW CLSW 303 BL C ENT. 18/20 LJ";"SUDOESTE";"BRASILIA";"DF";" ";"70673623";"";"04843360000106";"0743006100102";" ";"";04/01/2012;"61 30346559";""
"00000176";"OCT VEICULOS LTDA";"QS 01 RUA 212 LOTES 19 E 21, 19";"AGUAS CLARAS";"TAGUATINGA";"DF";" ";"71950550";"";"00549675000194";"0732411300132";" ";"MARIANA ( FINANCEIRO )";06/01/2012;"61 21066000";""
"00000177";"SIND. TRAB. COM.ATAC E VAR. MATER. CONSTR DO DF";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";10/01/2012;"";""
"00000178";"MUNDO DOS FILTROS LTDA";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";30/01/2012;"";""
"00000179";"INDUSTRIA DE LIXADORES PURPER LTDA";"RUA NILO PECANHA, SALA 01 N.";"SAO CRISTOVAO";"LAJEADO";"RS";" ";"95900000";"";"10789413000150";"0720129532";" ";"WANDER";28/02/2012;"51 37144436";""
"00000180";"RDV FERRAMENTAS AUTOMOTIVAS LTDA ME";"SIA SULQD 4C BL E LJS 45/65";"GUARA";"BRASILIA";"DF";" ";"71200045";"";"09544654000150";"0750347300112";" ";"RICARDO";02/04/2012;"61 39671156";""
"00000181";"TSI TECNOLOGIA EM SISTEMAS DE INFORMACAO";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";02/04/2012;"";""
"00000182";"K&K COMERCIO DE PRODUTOS E COMPLEMENTO";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";02/04/2012;"";""
"00000183";"ESTRUTURA CENTER COM. DE MATERIAIS DE CONST. LTDA";"SIA TRECHO 2 LOTE 1315/13";"SIA";"BRASILIA";"DF";" ";"71200020";"";"01739265000179";"0736957400115";" ";"";02/04/2012;"61 33611737";""
"00000184";"TESUS  UNIFORMES";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";03/05/2012;"";""
"00000185";"ITW PPF BRASIL ADESIVOS LTDA";"RUA ANTONIO FELAMINGO";"MACUCO";"VALINHOS";"SP";" ";"13279452";"";"05858780000129";"708189438115";" ";"";09/05/2012;"19 38817788";""
"00000186";"JG COM. IMP. E EXP. DE PECAS LTDA";"RUA LUIS GREGNANIN,";"VILA PRUDENTE";"SÃO PAULO";"SP";" ";"03127001";"";"11735406000139";"147094971114";" ";"";24/05/2012;"11 20211878";""
"00000187";"MC DISTRIBUIDORA DE PRODUTOS AUTOMOTIVOS LTDA";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";21/06/2012;"";""
"00000188";"COE, COELHO & CIA LTDA";"SIA TRECHO 02 LOTE";"SETOR DE INDUSTRIAS";"BRASILIA";"DF";" ";"71200020";"";"24934648000284";"0732298900206";" ";"";28/06/2012;"61 32336123";"61 32334901"
"00000189";"INVESTIMENTO PRODUCOES E PUBLICIDADE";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";21/06/2012;"";""
"00000190";"DISMONZA DIST. DE TINTAS E ABRAS. LTDA";"QNE 19 LOTE";"TAGUATINGA NORTE";"BRASILIA";"DF";" ";"72125190";"";"12801150000183";"0755709200104";" ";"";19/07/2012;"61 33551733";""
"00000191";"EQUIPAMENTOS CONTRA INCENDIO EM GERAL";"QD 203 CONJ. 07 LT";"RECANTO DAS EMAS";"BRASILIA";"DF";" ";"72610300";"";"04750381000187";"0742799400106";" ";"";25/07/2012;"61 34344444";""
"00000192";"CANAL TINTAS";"QUADRA 08 CONJ. A";"SOF SUL";"GUARA";"DF";" ";"71215241";"";"02444060000129";"0752462900158";" ";"";11/07/2012;"61 32331803";""
"00000193";"JOSE HUMBERTO XAVIER";"AV. SAO DOMINGOS QD. 03 LT 16,150";"VILA MUTIRAO";"GOIÂNIA";"GO";" ";"74480120";"";"10618219000102";"104476362";" ";"";19/07/2012;"62 35956724";""
"00000194";"TEF AUTOMOCAO COMERCIAL LTDA";"SCLR/NORTE CLR QD 7";"ASA NORTE";"BRASILIA";"DF";" ";"70750701";"";"05438120000199";"0744099500104";" ";"";26/07/2012;"61 30376333";""
"00000195";"PNEUS WAY PNEUS SERVICOS AUTOMOTIVOS LTDA";"SIA TRECHO";"SIA";"BRASILIA";"DF";" ";"71205970";"";"01018969000314";"0731955600302";" ";"RONI/GUSTAVO";08/08/2012;"80  0610009";"   33620002"
"00000196";"K & K COM. PROD. COMP. AUTOMOTIVOS LTDA";"RUA 15A LOSTRACCO QD 26 LOTE 07, 594";"JARDIM PLANALTO";"GOIÂNIA";"GO";" ";"74333215";"";"10887181000173";"104488123";" ";"";27/07/2012;"62 39318363";""
"00000197";"ER MIRANDA RELOGIO DIGITAL";"QD 15 LOTE 09,102";"SETOR LESTE";"GAMA";"DF";" ";"72460250";"";"09217002000101";"0749614400195";" ";"";31/08/2012;"";""
"00000198";"TNT MERCURIO CARGAS E ENCOMENDAS EXPRESSAS S.A";"SETOR STRC TRECHO 3 CONJ D LOTES. 1/2";"SIA SUL";"BRASILIA";"DF";" ";"71225500";"";"95591723012206";"0746332800230";" ";"";04/09/2012;"61 21042800";""
"00000199";"IMPERMEAVEL DIST. DE IMPERMEABILIZANTES LTDA";"RUA SALVADOR QD.";"SETOR URIAS";"GOIÂNIA";"GO";" ";"74565620";"";"11072084000195";"104529016";" ";"";11/09/2012;"62 32101288";""
"00000200";"SADIF COMERCIO DE VEICULOS LTDA";"TRECHO SIA 2 N.";"ZONA INDUSTRIAL";"BRASILIA";"DF";" ";"71200020";"";"09348217000161";"0749869600165";" ";"";12/09/2012;"61 34036363";""
"00000201";"REFRICENTER REFRIGERACAO E CM. DE PECAS LTDA";"CRS 515 BLOCO B LOJA 34/35";"ASA SUL";"BRASILIA";"DF";" ";"70381520";"";"01194909000190";"0736172300199";" ";"";20/09/2012;"61 32452054";""
"00000202";"HIDRALUZ MATERIAIS ELETRICOS EPP";"RUA 13 LOTE";"GUARA II";"BRASILIA";"DF";" ";"71070513";"";"33521709000191";"0730886200136";" ";"";25/09/2012;"61 33013107";""
"00000203";"CATRAL REFRIGERACAO E ELETRODOMESTICOS LTDA";"QND 28 LOTE";"TAG. NORTE";"BRASILIA";"DF";" ";"72120280";"";"02375921001055";"0749822300211";" ";"";28/09/2012;"61 32040404";""
"00000204";"SADA TRANSPORTES";"RUA GUSTAF DALEN,";"DISTR. IND. PAULO CAMILO";"BETIM";"MG";" ";"32669174";"";"19199348003101";"0673628101297";" ";"";04/10/2012;"31 30719577";""
"00000205";"CASA DA JARDINAGEM LTDA";"TRECHO 3 Nº.0. LT";"SIA SUL";"BRASILIA";"DF";" ";"71200020";"";"10810485000132";"0752039600197";" ";"";11/10/2012;"61 34336800";""
"00000206";"EXAUSTEC SISTEMAS DE VENT. E AUT. IND LTDA EPP";"ADE CONJUNTO 24 LOTE";"AGUAS CLARAS";"AGUAS CLARAS";"DF";" ";"71990360";"";"02473168000140";"0738423300174";" ";"";15/10/2012;"61 33991183";""
"00000207";"COMERCIAL ABADIA IND. E COMERCIO RESIDUO TEXTIL .";"RUA 38, 38";"SETOR SANTOS DUMONT";"GOIÂNIA";"GO";" ";"74463750";"";"15231239000140";"105294047";" ";"THAIS";19/10/2012;"62 32971047";""
"00000208";"THAYCE KELLY CARDOSO NUNES";"RUA FLOR DE MAIO QD 45 LT";"PONTA KAIANA";"TRINDADE";"GO";" ";"74480120";"";"02697811109";"";" ";"";30/10/2012;"";""
"00000209";"CELSO CAVINI DIAS SERRALHERIA ME";"RUA ETELVINO DE FREITAS,";"JARDIM SAO JOSE";"SÃO BERNARDO DO CAMPO";"SP";" ";"09762010";"";"02106105000155";"635618682116";" ";"";19/11/2012;"11 41247703";""
"00000210";"V8 BRASIL LTDA EPP";"RUA GOVERNADOR JOSE BOABAID";"DISTRITO INDUSTRIAL";"SÃO JOSÉ";"SC";" ";"88104750";"";"04895202000108";"254455352";" ";"";19/11/2012;"48 33418600";""
"00000211";"HP ELETROTECNICA COM. MAN. E LOC. DE EQUIP.";"SIA QD 04C BL C SN";"SIA SUL";"BRASILIA";"DF";" ";"71200045";"";"09636445000137";"0750550500104";" ";"";22/11/2012;"61 33620130";""
"00000212";"PROTECAO COMERCIO REPRESENTACAO TREINAMENTO LTDA";"AV. BRASIL SUL, 4590 QD. 22 LT";"CALIXFOLANDIA";"ANÁPOLIS";"GO";" ";"75130630";"";"02746056000115";"103080856";" ";"";14/12/2012;"62 33136464";""
"00000213";"COMERCIAL GAMARRA DE EQUIPAMENTOS DE AREIRELE - EP";"RUA CANUTO SARAIVA 752, SALA";"MOOCA";"SÃO PAULO";"SP";" ";"01310000";"";"16605307000156";"145506321119";" ";"";07/01/2013;"11 20211878";""
"00000214";"GONDIM TRANSP. E LOG LTDA";"AV. MARIA DE MELO 02 LT 9,S/N-GP";"VL IND. P. ABAAO";"GOIÂNIA";"GO";" ";"74583245";"";"01976865000150";"102955948";" ";"";20/12/2012;"62 35729200";""
"00000215";"TOK FINAL COMERCIO DE TINTAS LTDA";"AV. BRASIL NORTE N.";"CIDADE JARDIM";"ANÁPOLIS";"GO";" ";"75080240";"";"09331736000117";"104232668";" ";"";05/03/2013;"62 30994055";""
"00000216";"ROMANEL SERV. TRANSP. LTDA";"RUA ALIXANDRE JUZARRO N.";"JARDIM PRIMEVERA";"SÃO PAULO";"SP";" ";"02755080";"";"08783080000372";"149986781115";" ";"";15/03/2013;"11 39365944";""
"00000217";"DAKAI SISTEMAS ELETRONICOS DE SEGURANCA LTDA";"QNA 35 CASA";"TAGUATINGA NORTE";"BRASILIA";"DF";" ";"72110350";"";"07179519000128";"0746377800123";" ";"";21/03/2013;"61 34360430";""
"00000218";"BRASIL VEICULOS CIA DE SEGUROS";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";05/04/2013;"";""
"00000219";"BRASIL VEICULOS CIA DE SEGUROS";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";05/04/2013;"";""
"00000220";"FARAO LTDA ME";"AV. LISBOA, S/N Q D30 LOTE";"FORQUILHINHAS";"SÃO JOSÉ";"SC";" ";"88107350";"";"13314625000170";"256342466";" ";"";12/04/2013;"48 33331002";""
"00000221";"SOF NORTE PECAS E TINTAS AUTOMOTIVAS LTDA - EPP";"SOF/N CL QD 04 BL A LJ";"ASA NORTE";"BRASILIA";"DF";" ";"70634463";"";"07845996000185";"0747533500100";" ";"";17/05/2013;"61 34652277";""
"00000222";"SIM IMPORTADORA DE FERRAGENS LTDA";"RUA SAO PAULO,";"JARDIM AMERICA";"CAIXAS DO SUL";"RS";" ";"95050450";"";"10920479000138";"0290507103";" ";"";27/06/2013;"54 30290099";""
"00000223";"SW INDUSTRIA E COMERCIO DE RESIDUOS TEXTIL LTDA";"AV. PERIMETRAL OESTE QD 14 LT 10 N.";"JARDIN BONANZA";"GOIÂNIA";"GO";" ";"74463840";"";"16514326000177";"105406910";" ";"";10/07/2013;"62 32976506";""
